,Event,Year,Gender,Position,Medal,Athlete,NOC,Time,Distance
597,Discus Throw,1956,F,1,Gold,Olga FikotovÃ¡,TCH,NaN,53.69
598,Discus Throw,1956,F,2,Silver,Irina Beglyakova,URS,NaN,52.54
599,Discus Throw,1956,F,3,Bronze,Nina Romashkova-Ponomaryova,URS,NaN,52.02
600,Javelin Throw,1956,F,1,Gold,Inese Jaunzeme,URS,NaN,53.86
601,Javelin Throw,1956,F,2,Silver,Marlene Ahrens,CHI,NaN,50.38
602,Javelin Throw,1956,F,3,Bronze,Nadezhda Konyayeva,URS,NaN,50.28
603,100 metres,1960,M,1,Gold,Armin Hary,GER,10.2,NaN
604,100 metres,1960,M,2,Silver,Dave Sime,USA,10.2,NaN
605,100 metres,1960,M,3,Bronze,Peter Radford,GBR,10.3,NaN
606,200 metres,1960,M,1,Gold,Livio Berruti,ITA,20.5,NaN
607,200 metres,1960,M,2,Silver,Les Carney,USA,20.6,NaN
608,200 metres,1960,M,3,Bronze,Abdou SÃ¨ye,FRA,20.7,NaN
609,400 metres,1960,M,1,Gold,Otis Davis,USA,44.9,NaN
610,400 metres,1960,M,2,Silver,Carl Kaufmann,GER,44.9,NaN
611,400 metres,1960,M,3,Bronze,Malcolm Spence,RSA,45.5,NaN
612,800 metres,1960,M,1,Gold,Peter Snell,NZL,106.3,NaN
613,800 metres,1960,M,2,Silver,Roger Moens,BEL,106.5,NaN
614,800 metres,1960,M,3,Bronze,George Kerr,WIF,107.1,NaN
615,"1,500 metres",1960,M,1,Gold,Herb Elliott,AUS,215.6,NaN
616,"1,500 metres",1960,M,2,Silver,Michel Jazy,FRA,218.4,NaN
617,"1,500 metres",1960,M,3,Bronze,IstvÃ¡n RÃ³zsavÃ¶lgyi,HUN,219.2,NaN
618,"5,000 metres",1960,M,1,Gold,Murray Halberg,NZL,823.4,NaN
619,"5,000 metres",1960,M,2,Silver,Hans Grodotzki,GER,824.6,NaN
620,"5,000 metres",1960,M,3,Bronze,Kazimierz Zimny,POL,824.8,NaN
621,"10,000 metres",1960,M,1,Gold,Pyotr Bolotnikov,URS,NaN,NaN
622,"10,000 metres",1960,M,2,Silver,Hans Grodotzki,GER,NaN,NaN
623,"10,000 metres",1960,M,3,Bronze,Dave Power,AUS,NaN,NaN
624,Marathon,1960,M,1,Gold,Abebe Bikila,ETH,8116.2,NaN
625,Marathon,1960,M,2,Silver,Rhadi Ben Abdesselam,MAR,8141.6,NaN
626,Marathon,1960,M,3,Bronze,Barry Magee,NZL,8238.2,NaN
627,Long Jump,1960,M,1,Gold,Ralph Boston,USA,NaN,8.12
628,Long Jump,1960,M,2,Silver,Bo Roberson,USA,NaN,8.11
629,Long Jump,1960,M,3,Bronze,Igor Ter-Ovanesyan,URS,NaN,8.04
630,Triple Jump,1960,M,1,Gold,JÃ³zef Szmidt,POL,NaN,16.81
631,Triple Jump,1960,M,2,Silver,Vladimir Goryayev,URS,NaN,16.63
632,Triple Jump,1960,M,3,Bronze,Vitold Kreyer,URS,NaN,16.43
633,Shot Put,1960,M,1,Gold,Bill Nieder,USA,NaN,19.68
634,Shot Put,1960,M,2,Silver,Parry O'Brien,USA,NaN,19.11
635,Shot Put,1960,M,3,Bronze,Dallas Long,USA,NaN,19.01
636,Discus Throw,1960,M,1,Gold,Al Oerter,USA,NaN,59.18
637,Discus Throw,1960,M,2,Silver,Rink Babka,USA,NaN,58.02
638,Discus Throw,1960,M,3,Bronze,Dick Cochran,USA,NaN,57.16
639,Hammer Throw,1960,M,1,Gold,Vasily Rudenkov,URS,NaN,67.10
640,Hammer Throw,1960,M,2,Silver,Gyula ZsivÃ³tzky,HUN,NaN,65.79
641,Hammer Throw,1960,M,3,Bronze,Tadeusz Rut,POL,NaN,65.64
642,Javelin Throw,1960,M,1,Gold,Viktor Tsybulenko,URS,NaN,84.64
643,Javelin Throw,1960,M,2,Silver,Walter KrÃ¼ger,GER,NaN,79.36
644,Javelin Throw,1960,M,3,Bronze,Gergely KulcsÃ¡r,HUN,NaN,78.57
645,100 metres,1960,F,1,Gold,Wilma Rudolph,USA,11.0,NaN
646,100 metres,1960,F,2,Silver,Dorothy Hyman,GBR,11.3,NaN
647,100 metres,1960,F,3,Bronze,Giuseppina Leone,ITA,11.3,NaN
648,200 metres,1960,F,1,Gold,Wilma Rudolph,USA,24.0,NaN
649,200 metres,1960,F,2,Silver,Jutta Heine,GER,24.4,NaN
650,200 metres,1960,F,3,Bronze,Dorothy Hyman,GBR,24.7,NaN
651,800 metres,1960,F,1,Gold,Lyudmila Lysenko,URS,124.3,NaN
652,800 metres,1960,F,2,Silver,Brenda Jones,AUS,124.4,NaN
653,800 metres,1960,F,3,Bronze,Ulla Donath,GER,125.6,NaN
654,Long Jump,1960,F,1,Gold,Vera Krepkina,URS,NaN,6.37
655,Long Jump,1960,F,2,Silver,ElÅ¼bieta KrzesiÅska,POL,NaN,6.27
656,Long Jump,1960,F,3,Bronze,Hildrun Claus,GER,NaN,6.21
657,Shot Put,1960,F,1,Gold,Tamara Press,URS,NaN,17.32
658,Shot Put,1960,F,2,Silver,Johanna LÃ¼ttge,GER,NaN,16.61
659,Shot Put,1960,F,3,Bronze,Earlene Brown,USA,NaN,16.42
660,Discus Throw,1960,F,1,Gold,Nina Romashkova-Ponomaryova,URS,NaN,55.10
661,Discus Throw,1960,F,2,Silver,Tamara Press,URS,NaN,52.59
662,Discus Throw,1960,F,3,Bronze,Lia Manoliu,ROU,NaN,52.36
663,Javelin Throw,1960,F,1,Gold,ElvÄ«ra OzoliÅa,URS,NaN,55.98
664,Javelin Throw,1960,F,2,Silver,Dana ZÃ¡topkovÃ¡,TCH,NaN,53.78
665,Javelin Throw,1960,F,3,Bronze,BirutÄ KalÄdienÄ,URS,NaN,53.45
666,100 metres,1964,M,1,Gold,Bob Hayes,USA,10.0,NaN
667,100 metres,1964,M,2,Silver,Enrique Figuerola,CUB,10.2,NaN
668,100 metres,1964,M,3,Bronze,Harry Jerome,CAN,10.2,NaN
669,200 metres,1964,M,1,Gold,Henry Carr,USA,20.3,NaN
670,200 metres,1964,M,2,Silver,Paul Drayton,USA,20.5,NaN
671,200 metres,1964,M,3,Bronze,Edwin Roberts,TTO,20.6,NaN
672,400 metres,1964,M,1,Gold,Mike Larrabee,USA,45.1,NaN
673,400 metres,1964,M,2,Silver,Wendell Mottley,TTO,45.2,NaN
674,400 metres,1964,M,3,Bronze,Andrzej BadeÅski,POL,45.6,NaN
675,800 metres,1964,M,1,Gold,Peter Snell,NZL,105.1,NaN
676,800 metres,1964,M,2,Silver,Bill Crothers,CAN,105.6,NaN
677,800 metres,1964,M,3,Bronze,Wilson Kiprugut,KEN,105.9,NaN
678,"1,500 metres",1964,M,1,Gold,Peter Snell,NZL,218.1,NaN
679,"1,500 metres",1964,M,2,Silver,Josef OdloÅ¾il,TCH,219.6,NaN
680,"1,500 metres",1964,M,3,Bronze,John Davies,NZL,219.6,NaN
