Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
2,Patrik SjÃ¶berg,SWE,,Silver,High Jump,M,1992,,,,
=3,Tim Forsyth,AUS,,Bronze,High Jump,M,1992,,,,
=3,Artur Partyka,POL,,Bronze,High Jump,M,1992,,,,
=3,Hollis Conway,USA,,Bronze,High Jump,M,1992,,,,
1,Maksim Tarasov,EUN,,Gold,Pole Vault,M,1992,,,,
2,Igor Trandenkov,EUN,,Silver,Pole Vault,M,1992,,,,
3,Javier GarcÃ­a,ESP,,Bronze,Pole Vault,M,1992,,,,
1,Carl Lewis,USA,8.67 (1),Gold,Long Jump,M,1992,,,,
2,Mike Powell,USA,8.64 (2),Silver,Long Jump,M,1992,,,,
3,Joe Greene,USA,8.34 (3),Bronze,Long Jump,M,1992,,,,
1,Mike Conley,USA,18.17w (1),Gold,Triple Jump,M,1992,,,,
2,Charlie Simpkins,USA,17.60 (2),Silver,Triple Jump,M,1992,,,,
3,Frank Rutherford,BAH,17.36 (3),Bronze,Triple Jump,M,1992,,,,
1,Mike Stulce,USA,21.70 (1),Gold,Shot Put,M,1992,,,,
2,Jim Doehring,USA,20.96 (2),Silver,Shot Put,M,1992,,,,
3,Vyacheslav Lykho,EUN,20.94 (3),Bronze,Shot Put,M,1992,,,,
1,Romas Ubartas,LTU,65.12 (1),Gold,Discus Throw,M,1992,,,,
2,JÃ¼rgen Schult,GER,64.94 (2),Silver,Discus Throw,M,1992,,,,
3,Roberto Moya,CUB,64.12 (3),Bronze,Discus Throw,M,1992,,,,
1,Andrey Abduvaliyev,EUN,82.54 (1),Gold,Hammer Throw,M,1992,,,,
2,Ihar Astapkovich,EUN,81.96 (2),Silver,Hammer Throw,M,1992,,,,
3,Igor Nikulin,EUN,81.38 (3),Bronze,Hammer Throw,M,1992,,,,
1,Jan Å½eleznÃ½,TCH,89.66 (1),Gold,Javelin Throw,M,1992,,,,
2,Seppo RÃ¤ty,FIN,86.60 (2),Silver,Javelin Throw,M,1992,,,,
3,Steve Backley,GBR,83.38 (3),Bronze,Javelin Throw,M,1992,,,,
1,Gail Devers,USA,10.82 (1),Gold,100 metres,F,1992,,,,
2,Juliet Cuthbert,JAM,10.83 (2),Silver,100 metres,F,1992,,,,
3,Irina Privalova,EUN,10.84 (3),Bronze,100 metres,F,1992,,,,
1,Gwen Torrence,USA,21.81 (1),Gold,200 metres,F,1992,,,,
2,Juliet Cuthbert,JAM,22.02 (2),Silver,200 metres,F,1992,,,,
3,Merlene Ottey,JAM,22.09 (3),Bronze,200 metres,F,1992,,,,
1,Marie-JosÃ© PÃ©rec,FRA,48.83 (1),Gold,400 metres,F,1992,,,,
2,Olga Bryzgina,EUN,49.05 (2),Silver,400 metres,F,1992,,,,
3,Ximena Restrepo,COL,49.64 (3),Bronze,400 metres,F,1992,,,,
1,Ellen van Langen,NED,1:55.54 (1),Gold,800 metres,F,1992,,,,
2,Liliya Nurutdinova,EUN,1:55.99 (2),Silver,800 metres,F,1992,,,,
3,Ana Fidelia QuirÃ³s,CUB,1:56.80 (3),Bronze,800 metres,F,1992,,,,
1,Hassiba Boulmerka,ALG,3:55.30 (1),Gold,"1,500 metres",F,1992,,,,
2,Lyudmila Rogachova,EUN,3:56.91 (2),Silver,"1,500 metres",F,1992,,,,
3,Qu Yunxia,CHN,3:57.08 (3),Bronze,"1,500 metres",F,1992,,,,
1,Yelena Romanova,EUN,8:46.04 (1),Gold,"3,000 metres",F,1992,,,,
2,Tetiana Dorovskikh,EUN,8:46.85 (2),Silver,"3,000 metres",F,1992,,,,
3,Angela Chalmers,CAN,8:47.22 (3),Bronze,"3,000 metres",F,1992,,,,
1,Derartu Tulu,ETH,31:06.02 (1),Gold,"10,000 metres",F,1992,,,,
2,Elana Meyer,RSA,31:11.75 (2),Silver,"10,000 metres",F,1992,,,,
3,Lynn Jennings,USA,31:19.89 (3),Bronze,"10,000 metres",F,1992,,,,
1,Valentina Yegorova,EUN,,Gold,Marathon,F,1992,2-32:41,,,
2,Yuko Arimori,JPN,,Silver,Marathon,F,1992,2-32:49,,,
3,Lorraine Moller,NZL,,Bronze,Marathon,F,1992,2-33:59,,,
1,Voula Patoulidou,GRE,12.64 (1),Gold,100 metres Hurdles,F,1992,,,,
2,LaVonna Martin,USA,12.69 (2),Silver,100 metres Hurdles,F,1992,,,,
3,Yordanka Donkova,BUL,12.70 (3),Bronze,100 metres Hurdles,F,1992,,,,
1,Sally Gunnell,GBR,53.23 (1),Gold,400 metres Hurdles,F,1992,,,,
2,Sandra Farmer-Patrick,USA,53.69 (2),Silver,400 metres Hurdles,F,1992,,,,
3,Janeene Vickers,USA,54.31 (3),Bronze,400 metres Hurdles,F,1992,,,,
1,,CHN,,Gold,10 kilometres Walk,F,1992,44:32,,,
2,,EUN,,Silver,10 kilometres Walk,F,1992,44:33,,,
3,,CHN,,Bronze,10 kilometres Walk,F,1992,44:41,,,
1,Heike Henkel,GER,,Gold,High Jump,F,1992,,,,
2,Galina Astafei,ROU,,Silver,High Jump,F,1992,,,,
3,Ioamnet Quintero,CUB,,Bronze,High Jump,F,1992,,,,
1,Heike Drechsler,GER,7.14 (1),Gold,Long Jump,F,1992,,,,
2,Inesa Kravets,EUN,7.12 (2),Silver,Long Jump,F,1992,,,,
3,Jackie Joyner-Kersee,USA,7.07 (3),Bronze,Long Jump,F,1992,,,,
1,Svetlana Krivelyova,EUN,21.06 (1),Gold,Shot Put,F,1992,,,,
2,Huang Zhihong,CHN,20.47 (2),Silver,Shot Put,F,1992,,,,
3,Kathrin Neimke,GER,19.78 (3),Bronze,Shot Put,F,1992,,,,
1,Maritza MartÃ©n,CUB,70.06 (1),Gold,Discus Throw,F,1992,,,,
2,Tsvetanka Hristova,BUL,67.78 (2),Silver,Discus Throw,F,1992,,,,
3,Daniela Costian,AUS,66.24 (3),Bronze,Discus Throw,F,1992,,,,
1,Silke Renk,GER,68.34 (1),Gold,Javelin Throw,F,1992,,,,
2,Natallia Shykalenka,EUN,68.26 (2),Silver,Javelin Throw,F,1992,,,,
3,Karen Forkel,GER,66.86 (3),Bronze,Javelin Throw,F,1992,,,,
1,Donovan Bailey,CAN,9.84 (1),Gold,100 metres,M,1996,,,,
2,Frankie Fredericks,NAM,9.89 (2),Silver,100 metres,M,1996,,,,
3,Ato Boldon,TTO,9.90 (3),Bronze,100 metres,M,1996,,,,
1,Michael Johnson,USA,19.32 (1),Gold,200 metres,M,1996,,,,
2,Frankie Fredericks,NAM,19.68 (2),Silver,200 metres,M,1996,,,,
3,Ato Boldon,TTO,19.80 (3),Bronze,200 metres,M,1996,,,,
1,Michael Johnson,USA,43.49 (1),Gold,400 metres,M,1996,,,,
2,Roger Black,GBR,44.41 (2),Silver,400 metres,M,1996,,,,
3,Davis Kamoga,UGA,44.53 (3),Bronze,400 metres,M,1996,,,,
1,VebjÃ¸rn Rodal,NOR,1:42.58 (1),Gold,800 metres,M,1996,,,,
2,HezekiÃ©l Sepeng,RSA,1:42.74 (2),Silver,800 metres,M,1996,,,,
3,Fred Onyancha,KEN,1:42.79 (3),Bronze,800 metres,M,1996,,,,
1,Noureddine Morceli,ALG,3:35.78 (1),Gold,"1,500 metres",M,1996,,,,
2,FermÃ­n Cacho,ESP,3:36.40 (2),Silver,"1,500 metres",M,1996,,,,
3,Stephen Kipkorir,KEN,3:36.72 (3),Bronze,"1,500 metres",M,1996,,,,
1,VÃ©nuste Niyongabo,BDI,13:07.96 (1),Gold,"5,000 metres",M,1996,,,,
2,Paul Bitok,KEN,13:08.16 (2),Silver,"5,000 metres",M,1996,,,,
3,Khalid Boulami,MAR,13:08.37 (3),Bronze,"5,000 metres",M,1996,,,,
1,Haile Gebrselassie,ETH,27:07.34 (1),Gold,"10,000 metres",M,1996,,,,
2,Paul Tergat,KEN,27:08.17 (2),Silver,"10,000 metres",M,1996,,,,
3,Salah Hissou,MAR,27:24.67 (3),Bronze,"10,000 metres",M,1996,,,,
1,Josia Thugwane,RSA,,Gold,Marathon,M,1996,2-12:36,,,
2,Lee Bong-Ju,KOR,,Silver,Marathon,M,1996,2-12:39,,,
3,Eric Wainaina,KEN,,Bronze,Marathon,M,1996,2-12:44,,,
1,Allen Johnson,USA,12.95 (1),Gold,110 metres Hurdles,M,1996,,,,
2,Mark Crear,USA,13.09 (2),Silver,110 metres Hurdles,M,1996,,,,
3,Florian Schwarthoff,GER,13.17 (3),Bronze,110 metres Hurdles,M,1996,,,,
1,Derrick Adkins,USA,47.54 (1),Gold,400 metres Hurdles,M,1996,,,,
2,Samuel Matete,ZAM,47.78 (2),Silver,400 metres Hurdles,M,1996,,,,
3,Calvin Davis,USA,47.96 (3),Bronze,400 metres Hurdles,M,1996,,,,
1,Joseph Keter,KEN,8:07.12 (1),Gold,"3,000 metres Steeplechase",M,1996,,,,
2,Moses Kiptanui,KEN,8:08.33 (2),Silver,"3,000 metres Steeplechase",M,1996,,,,
3,Alessandro Lambruschini,ITA,8:11.28 (3),Bronze,"3,000 metres Steeplechase",M,1996,,,,
1,,ECU,,Gold,20 kilometres Walk,M,1996,1-20:07,,,
2,,RUS,,Silver,20 kilometres Walk,M,1996,1-20:16,,,
3,,MEX,,Bronze,20 kilometres Walk,M,1996,1-20:23,,,
1,,POL,,Gold,50 kilometres Walk,M,1996,3-43:30,,,
2,,RUS,,Silver,50 kilometres Walk,M,1996,3-43:46,,,
3,,ESP,,Bronze,50 kilometres Walk,M,1996,3-44:19,,,
1,Charles Austin,USA,,Gold,High Jump,M,1996,,,,
2,Artur Partyka,POL,,Silver,High Jump,M,1996,,,,
3,Steve Smith,GBR,,Bronze,High Jump,M,1996,,,,
1,Jean Galfione,FRA,,Gold,Pole Vault,M,1996,,,,
2,Igor Trandenkov,RUS,,Silver,Pole Vault,M,1996,,,,
3,Andrej Tiwontschik,GER,,Bronze,Pole Vault,M,1996,,,,
1,Carl Lewis,USA,8.50 (1),Gold,Long Jump,M,1996,,,,
2,James Beckford,JAM,8.29 (2),Silver,Long Jump,M,1996,,,,
3,Joe Greene,USA,8.24 (3),Bronze,Long Jump,M,1996,,,,
1,Kenny Harrison,USA,18.09 (1),Gold,Triple Jump,M,1996,,,,
2,Jonathan Edwards,GBR,17.88 (2),Silver,Triple Jump,M,1996,,,,
3,Yoelbi Quesada,CUB,17.44 (3),Bronze,Triple Jump,M,1996,,,,
1,Randy Barnes,USA,21.62 (1),Gold,Shot Put,M,1996,,,,
2,John Godina,USA,20.79 (2),Silver,Shot Put,M,1996,,,,
3,Oleksandr Bahach,UKR,20.75 (3),Bronze,Shot Put,M,1996,,,,
1,Lars Riedel,GER,69.40 (1),Gold,Discus Throw,M,1996,,,,
2,Uladzimir Dubroushchyk,BLR,66.60 (2),Silver,Discus Throw,M,1996,,,,
3,Vasil Kapiukh,BLR,65.80 (3),Bronze,Discus Throw,M,1996,,,,
1,BalÃ¡zs Kiss,HUN,81.24 (1),Gold,Hammer Throw,M,1996,,,,
2,Lance Deal,USA,81.12 (2),Silver,Hammer Throw,M,1996,,,,
3,Oleksandr Krykun,UKR,80.02 (3),Bronze,Hammer Throw,M,1996,,,,
1,Jan Å½eleznÃ½,CZE,88.16 (1),Gold,Javelin Throw,M,1996,,,,
2,Steve Backley,GBR,87.44 (2),Silver,Javelin Throw,M,1996,,,,
3,Seppo RÃ¤ty,FIN,86.98 (3),Bronze,Javelin Throw,M,1996,,,,
1,Gail Devers,USA,10.94 (1),Gold,100 metres,F,1996,,,,
2,Merlene Ottey,JAM,10.94 (2),Silver,100 metres,F,1996,,,,
3,Gwen Torrence,USA,10.96 (3),Bronze,100 metres,F,1996,,,,
1,Marie-JosÃ© PÃ©rec,FRA,22.12 (1),Gold,200 metres,F,1996,,,,
2,Merlene Ottey,JAM,22.24 (2),Silver,200 metres,F,1996,,,,
3,Mary Onyali,NGR,22.38 (3),Bronze,200 metres,F,1996,,,,
1,Marie-JosÃ© PÃ©rec,FRA,48.25 (1),Gold,400 metres,F,1996,,,,
2,Cathy Freeman,AUS,48.63 (2),Silver,400 metres,F,1996,,,,
3,Falilat Ogunkoya,NGR,49.10 (3),Bronze,400 metres,F,1996,,,,
1,Svetlana Masterkova,RUS,1:57.73 (1),Gold,800 metres,F,1996,,,,
2,Ana Fidelia QuirÃ³s,CUB,1:58.11 (2),Silver,800 metres,F,1996,,,,
3,Maria Mutola,MOZ,1:58.71 (3),Bronze,800 metres,F,1996,,,,
1,Svetlana Masterkova,RUS,4:00.83 (1),Gold,"1,500 metres",F,1996,,,,
2,Gabriela Szabo,ROU,4:01.54 (2),Silver,"1,500 metres",F,1996,,,,
3,Theresia Kiesl,AUT,4:03.02 (3),Bronze,"1,500 metres",F,1996,,,,
1,Wang Junxia,CHN,14:59.88 (1),Gold,"5,000 metres",F,1996,,,,
2,Pauline Konga,KEN,15:03.49 (2),Silver,"5,000 metres",F,1996,,,,
3,Roberta Brunet,ITA,15:07.52 (3),Bronze,"5,000 metres",F,1996,,,,
1,Fernanda Ribeiro,POR,31:01.63 (1),Gold,"10,000 metres",F,1996,,,,
2,Wang Junxia,CHN,31:02.58 (2),Silver,"10,000 metres",F,1996,,,,
3,Gete Wami,ETH,31:06.65 (3),Bronze,"10,000 metres",F,1996,,,,
1,Fatuma Roba,ETH,,Gold,Marathon,F,1996,2-26:05,,,
2,Valentina Yegorova,RUS,,Silver,Marathon,F,1996,2-28:05,,,
3,Yuko Arimori,JPN,,Bronze,Marathon,F,1996,2-28:39,,,
1,Ludmila Engquist,SWE,12.58 (1),Gold,100 metres Hurdles,F,1996,,,,
2,Brigita Bukovec,SLO,12.59 (2),Silver,100 metres Hurdles,F,1996,,,,
3,Patricia Girard-LÃ©no,FRA,12.65 (3),Bronze,100 metres Hurdles,F,1996,,,,
1,Deon Hemmings,JAM,52.82 (1),Gold,400 metres Hurdles,F,1996,,,,
2,Kim Batten,USA,53.08 (2),Silver,400 metres Hurdles,F,1996,,,,
3,Tonja Buford,USA,53.22 (3),Bronze,400 metres Hurdles,F,1996,,,,
1,,RUS,,Gold,10 kilometres Walk,F,1996,41:49,,,
2,,ITA,,Silver,10 kilometres Walk,F,1996,42:12,,,
3,,CHN,,Bronze,10 kilometres Walk,F,1996,42:19,,,
1,Stefka Kostadinova,BUL,,Gold,High Jump,F,1996,,,,
2,Niki Bakogianni,GRE,,Silver,High Jump,F,1996,,,,
3,Inha Babakova,UKR,,Bronze,High Jump,F,1996,,,,
1,Chioma Ajunwa,NGR,7.12 (1),Gold,Long Jump,F,1996,,,,
2,Fiona May,ITA,7.02 (2),Silver,Long Jump,F,1996,,,,
3,Jackie Joyner-Kersee,USA,7.00 (3),Bronze,Long Jump,F,1996,,,,
1,Inesa Kravets,UKR,15.33 (1),Gold,Triple Jump,F,1996,,,,
2,Inna Lasovskaya,RUS,14.98 (2),Silver,Triple Jump,F,1996,,,,
3,Å Ã¡rka KaÅ¡pÃ¡rkovÃ¡,CZE,14.98 (3),Bronze,Triple Jump,F,1996,,,,
1,Astrid Kumbernuss,GER,20.56 (1),Gold,Shot Put,F,1996,,,,
2,Sui Xinmei,CHN,19.88 (2),Silver,Shot Put,F,1996,,,,
3,Irina Khudoroshkina,RUS,19.35 (3),Bronze,Shot Put,F,1996,,,,
1,Ilke Wyludda,GER,69.66 (1),Gold,Discus Throw,F,1996,,,,
2,Nataliya Sadova,RUS,66.48 (2),Silver,Discus Throw,F,1996,,,,
3,Elina Zverava,BLR,65.64 (3),Bronze,Discus Throw,F,1996,,,,
1,Heli Rantanen,FIN,67.94 (1),Gold,Javelin Throw,F,1996,,,,
2,Louise McPaul,AUS,65.54 (2),Silver,Javelin Throw,F,1996,,,,
3,Trine Hattestad,NOR,64.98 (3),Bronze,Javelin Throw,F,1996,,,,
1,Maurice Greene,USA,9.87 (1),Gold,100 metres,M,2000,,,,
2,Ato Boldon,TTO,9.99 (2),Silver,100 metres,M,2000,,,,
3,Obadele Thompson,BAR,10.04 (3),Bronze,100 metres,M,2000,,,,
1,Kostas Kenteris,GRE,20.09 (1),Gold,200 metres,M,2000,,,,
2,Darren Campbell,GBR,20.14 (2),Silver,200 metres,M,2000,,,,
3,Ato Boldon,TTO,20.20 (3),Bronze,200 metres,M,2000,,,,
1,Michael Johnson,USA,43.84 (1),Gold,400 metres,M,2000,,,,
2,Alvin Harrison,USA,44.40 (2),Silver,400 metres,M,2000,,,,
3,Greg Haughton,JAM,44.70 (3),Bronze,400 metres,M,2000,,,,
1,Nils Schumann,GER,1:45.08 (1),Gold,800 metres,M,2000,,,,
2,Wilson Kipketer,DEN,1:45.14 (2),Silver,800 metres,M,2000,,,,
3,Djabir SaÃ¯d-Guerni,ALG,1:45.16 (3),Bronze,800 metres,M,2000,,,,
1,Noah Ngeny,KEN,3:32.07 (1),Gold,"1,500 metres",M,2000,,,,
2,Hicham El Guerrouj,MAR,3:32.32 (2),Silver,"1,500 metres",M,2000,,,,
3,Bernard Lagat,KEN,3:32.44 (3),Bronze,"1,500 metres",M,2000,,,,
1,Million Wolde,ETH,13:35.49 (1),Gold,"5,000 metres",M,2000,,,,
2,Ali SaÃ¯di-Sief,ALG,13:36.20 (2),Silver,"5,000 metres",M,2000,,,,
3,Brahim Lahlafi,MAR,13:36.47 (3),Bronze,"5,000 metres",M,2000,,,,
1,Haile Gebrselassie,ETH,27:18.20 (1),Gold,"10,000 metres",M,2000,,,,
2,Paul Tergat,KEN,27:18.29 (2),Silver,"10,000 metres",M,2000,,,,
3,Assefa Mezgebu,ETH,27:19.75 (3),Bronze,"10,000 metres",M,2000,,,,
1,Gezahgne Abera,ETH,,Gold,Marathon,M,2000,2-10:11,,,
2,Eric Wainaina,KEN,,Silver,Marathon,M,2000,2-10:31,,,
3,Tesfaye Tola,ETH,,Bronze,Marathon,M,2000,2-11:10,,,
1,Anier GarcÃ­a,CUB,13.00 (1),Gold,110 metres Hurdles,M,2000,,,,
2,Terrence Trammell,USA,13.16 (2),Silver,110 metres Hurdles,M,2000,,,,
3,Mark Crear,USA,13.22 (3),Bronze,110 metres Hurdles,M,2000,,,,
1,Angelo Taylor,USA,47.50 (1),Gold,400 metres Hurdles,M,2000,,,,
2,Hadi Soua'an Al-Somaily,KSA,47.53 (2),Silver,400 metres Hurdles,M,2000,,,,
3,Llewellyn Herbert,RSA,47.81 (3),Bronze,400 metres Hurdles,M,2000,,,,
1,Reuben Kosgei,KEN,8:21.43 (1),Gold,"3,000 metres Steeplechase",M,2000,,,,
2,Wilson Boit Kipketer,KEN,8:21.77 (2),Silver,"3,000 metres Steeplechase",M,2000,,,,
3,Ali Ezzine,MAR,8:22.15 (3),Bronze,"3,000 metres Steeplechase",M,2000,,,,
1,,POL,,Gold,20 kilometres Walk,M,2000,1-18:59,,,
2,,MEX,,Silver,20 kilometres Walk,M,2000,1-19:03,,,
3,,RUS,,Bronze,20 kilometres Walk,M,2000,1-19:27,,,
1,,POL,,Gold,50 kilometres Walk,M,2000,3-42:22,,,
2,,LAT,,Silver,50 kilometres Walk,M,2000,3-43:40,,,
3,,MEX,,Bronze,50 kilometres Walk,M,2000,3-44:36,,,
1,Sergey Klyugin,RUS,,Gold,High Jump,M,2000,,,,
2,Javier Sotomayor,CUB,,Silver,High Jump,M,2000,,,,
3,Abderrahmane Hammad,ALG,,Bronze,High Jump,M,2000,,,,
1,Nick Hysong,USA,,Gold,Pole Vault,M,2000,,,,
2,Lawrence Johnson,USA,,Silver,Pole Vault,M,2000,,,,
3,Maksim Tarasov,RUS,,Bronze,Pole Vault,M,2000,,,,
1,IvÃ¡n Pedroso,CUB,8.55 (1),Gold,Long Jump,M,2000,,,,
2,Jai Taurima,AUS,8.49 (2),Silver,Long Jump,M,2000,,,,
3,Roman Shchurenko,UKR,8.31 (3),Bronze,Long Jump,M,2000,,,,
1,Jonathan Edwards,GBR,17.71 (1),Gold,Triple Jump,M,2000,,,,
2,Yoel GarcÃ­a,CUB,17.47 (2),Silver,Triple Jump,M,2000,,,,
3,Denis Kapustin,RUS,17.46 (3),Bronze,Triple Jump,M,2000,,,,
1,Arsi Harju,FIN,21.29 (1),Gold,Shot Put,M,2000,,,,
2,Adam Nelson,USA,21.21 (2),Silver,Shot Put,M,2000,,,,
3,John Godina,USA,21.20 (3),Bronze,Shot Put,M,2000,,,,
1,Virgilijus Alekna,LTU,69.30 (1),Gold,Discus Throw,M,2000,,,,
2,Lars Riedel,GER,68.50 (2),Silver,Discus Throw,M,2000,,,,
3,Frantz Kruger,RSA,68.19 (3),Bronze,Discus Throw,M,2000,,,,
1,Szymon ZiÃ³Åkowski,POL,80.02 (1),Gold,Hammer Throw,M,2000,,,,
2,Nicola Vizzoni,ITA,79.64 (2),Silver,Hammer Throw,M,2000,,,,
3,Ihar Astapkovich,BLR,79.17 (3),Bronze,Hammer Throw,M,2000,,,,
1,Jan Å½eleznÃ½,CZE,90.17 (1),Gold,Javelin Throw,M,2000,,,,
2,Steve Backley,GBR,89.85 (2),Silver,Javelin Throw,M,2000,,,,
3,Sergey Makarov,RUS,88.67 (3),Bronze,Javelin Throw,M,2000,,,,
1,Aikaterini Thanou,GRE,11.12 (1),Silver,100 metres,F,2000,,,,
2,Tayna Lawrence,JAM,11.18 (2),Silver,100 metres,F,2000,,,,
3,Merlene Ottey,JAM,11.19 (3),Bronze,100 metres,F,2000,,,,
1,Pauline Davis-Thompson,BAH,22.27 (1),Gold,200 metres,F,2000,,,,
2,Susanthika Jayasinghe,SRI,22.28 (2),Silver,200 metres,F,2000,,,,
3,Beverly McDonald,JAM,22.35 (3),Bronze,200 metres,F,2000,,,,
1,Cathy Freeman,AUS,49.11 (1),Gold,400 metres,F,2000,,,,
2,Lorraine Graham,JAM,49.58 (2),Silver,400 metres,F,2000,,,,
3,Katharine Merry,GBR,49.72 (3),Bronze,400 metres,F,2000,,,,
1,Maria Mutola,MOZ,1:56.15 (1),Gold,800 metres,F,2000,,,,
2,Steffi Graf,AUT,1:56.64 (2),Silver,800 metres,F,2000,,,,
3,Kelly Holmes,GBR,1:56.80 (3),Bronze,800 metres,F,2000,,,,
1,Nouria MÃ©rah-Benida,ALG,4:05.10 (1),Gold,"1,500 metres",F,2000,,,,
2,Violeta Szekely,ROU,4:05.15 (2),Silver,"1,500 metres",F,2000,,,,
3,Gabriela Szabo,ROU,4:05.27 (3),Bronze,"1,500 metres",F,2000,,,,
1,Gabriela Szabo,ROU,14:40.79 (1),Gold,"5,000 metres",F,2000,,,,
2,Sonia O'Sullivan,IRL,14:41.02 (2),Silver,"5,000 metres",F,2000,,,,
3,Gete Wami,ETH,14:42.23 (3),Bronze,"5,000 metres",F,2000,,,,
1,Derartu Tulu,ETH,30:17.49 (1),Gold,"10,000 metres",F,2000,,,,
2,Gete Wami,ETH,30:22.48 (2),Silver,"10,000 metres",F,2000,,,,
3,Fernanda Ribeiro,POR,30:22.88 (3),Bronze,"10,000 metres",F,2000,,,,
1,Naoko Takahashi,JPN,,Gold,Marathon,F,2000,2-23:14,,,
2,Lidia Èimon,ROU,,Silver,Marathon,F,2000,2-23:22,,,
3,Joyce Chepchumba,KEN,,Bronze,Marathon,F,2000,2-24:45,,,
1,Olga Shishigina,KAZ,12.65 (1),Gold,100 metres Hurdles,F,2000,,,,
2,Glory Alozie,NGR,12.68 (2),Silver,100 metres Hurdles,F,2000,,,,
3,Melissa Morrison,USA,12.76 (3),Bronze,100 metres Hurdles,F,2000,,,,
1,Irina Privalova,RUS,53.02 (1),Gold,400 metres Hurdles,F,2000,,,,
2,Deon Hemmings,JAM,53.45 (2),Silver,400 metres Hurdles,F,2000,,,,
3,Nezha Bidouane,MAR,53.57 (3),Bronze,400 metres Hurdles,F,2000,,,,
1,,CHN,,Gold,20 kilometres Walk,F,2000,1-29:05,,,
2,,NOR,,Silver,20 kilometres Walk,F,2000,1-29:33,,,
3,,ESP,,Bronze,20 kilometres Walk,F,2000,1-30:23,,,
1,Yelena Yelesina,RUS,,Gold,High Jump,F,2000,,,,
2,Hestrie Storbeck-Cloete,RSA,,Silver,High Jump,F,2000,,,,
=3,Oana MuÈunoi-Pantelimon,ROU,,Bronze,High Jump,F,2000,,,,
=3,Kajsa Bergqvist,SWE,,Bronze,High Jump,F,2000,,,,
1,Stacy Dragila,USA,,Gold,Pole Vault,F,2000,,,,
2,Tatiana Grigorieva,AUS,,Silver,Pole Vault,F,2000,,,,
3,Vala FlosadÃ³ttir,ISL,,Bronze,Pole Vault,F,2000,,,,
1,Heike Drechsler,GER,6.99 (1),Gold,Long Jump,F,2000,,,,
2,Fiona May,ITA,6.92 (2),Silver,Long Jump,F,2000,,,,
3,Tatyana Kotova,RUS,6.83 (3),Bronze,Long Jump,F,2000,,,,
1,Tereza Marinova,BUL,15.20 (1),Gold,Triple Jump,F,2000,,,,
2,Tatyana Lebedeva,RUS,15.00 (2),Silver,Triple Jump,F,2000,,,,
3,Olena Hovorova,UKR,14.96 (3),Bronze,Triple Jump,F,2000,,,,
1,Yanina Karolchyk,BLR,20.56 (1),Gold,Shot Put,F,2000,,,,
2,Larisa Peleshenko,RUS,19.92 (2),Silver,Shot Put,F,2000,,,,
3,Astrid Kumbernuss,GER,19.62 (3),Bronze,Shot Put,F,2000,,,,
1,Elina Zverava,BLR,68.40 (1),Gold,Discus Throw,F,2000,,,,
2,Anastasia Kelesidou,GRE,65.71 (2),Silver,Discus Throw,F,2000,,,,
3,Iryna Yatchanka,BLR,65.20 (3),Bronze,Discus Throw,F,2000,,,,
1,Kamila Skolimowska,POL,71.16 (1),Gold,Hammer Throw,F,2000,,,,
2,Olga Kuzenkova,RUS,69.77 (2),Silver,Hammer Throw,F,2000,,,,
3,Kirsten MÃ¼nchow,GER,69.28 (3),Bronze,Hammer Throw,F,2000,,,,
1,Trine Hattestad,NOR,68.91 (1),Gold,Javelin Throw,F,2000,,,,
2,Mirela Maniani-Tzelili,GRE,67.51 (2),Silver,Javelin Throw,F,2000,,,,
3,Osleidys MenÃ©ndez,CUB,66.18 (3),Bronze,Javelin Throw,F,2000,,,,
1,Justin Gatlin,USA,9.85 (1),Gold,100 metres,M,2004,,,,
2,Francis Obikwelu,POR,9.86 (2),Silver,100 metres,M,2004,,,,
3,Maurice Greene,USA,9.87 (3),Bronze,100 metres,M,2004,,,,
1,Shawn Crawford,USA,19.79 (1),Gold,200 metres,M,2004,,,,
2,"Bernard Williams, III",USA,20.01 (2),Silver,200 metres,M,2004,,,,
3,Justin Gatlin,USA,20.03 (3),Bronze,200 metres,M,2004,,,,
1,Jeremy Wariner,USA,44.00 (1),Gold,400 metres,M,2004,,,,
2,Otis Harris,USA,44.16 (2),Silver,400 metres,M,2004,,,,
3,Derrick Brew,USA,44.42 (3),Bronze,400 metres,M,2004,,,,
1,Yury Borzakovsky,RUS,1:44.45 (1),Gold,800 metres,M,2004,,,,
2,Mbulaeni Mulaudzi,RSA,1:44.61 (2),Silver,800 metres,M,2004,,,,
3,Wilson Kipketer,DEN,1:44.65 (3),Bronze,800 metres,M,2004,,,,
1,Hicham El Guerrouj,MAR,3:34.18 (1),Gold,"1,500 metres",M,2004,,,,
2,Bernard Lagat,KEN,3:34.30 (2),Silver,"1,500 metres",M,2004,,,,
3,Rui Silva,POR,3:34.68 (3),Bronze,"1,500 metres",M,2004,,,,
1,Hicham El Guerrouj,MAR,13:14.39 (1),Gold,"5,000 metres",M,2004,,,,
2,Kenenisa Bekele,ETH,13:14.59 (2),Silver,"5,000 metres",M,2004,,,,
3,Eliud Kipchoge,KEN,13:15.10 (3),Bronze,"5,000 metres",M,2004,,,,
1,Kenenisa Bekele,ETH,,Gold,"10,000 metres",M,2004,,,,
2,Sileshi Sihine,ETH,,Silver,"10,000 metres",M,2004,,,,
3,Zersenay Tadese,ERI,,Bronze,"10,000 metres",M,2004,,,,
