Position,Athlete,NOC,Final,Medal,Event,Gender,Year,Time,Height,Distance,Time (H)
1,Olga Gyarmati,HUN,5.695 (1),Gold,Long Jump,F,1948,,,,
2,NoemÃ­ Simonetto de Portela,ARG,5.600 (2),Silver,Long Jump,F,1948,,,,
3,Ann-Britt Leyman,SWE,5.575 (3),Bronze,Long Jump,F,1948,,,,
1,Micheline Ostermeyer,FRA,13.750 (1),Gold,Shot Put,F,1948,,,,
2,Amelia Piccinini,ITA,13.095 (2),Silver,Shot Put,F,1948,,,,
3,Ine SchÃ¤ffer,AUT,13.080 (3),Bronze,Shot Put,F,1948,,,,
1,Micheline Ostermeyer,FRA,,Gold,Discus Throw,F,1948,,,41.92,
2,Edera Cordiale-Gentile,ITA,,Silver,Discus Throw,F,1948,,,41.17,
3,Jacqueline MazÃ©as,FRA,,Bronze,Discus Throw,F,1948,,,40.47,
1,Herma Bauma,AUT,,Gold,Javelin Throw,F,1948,,,45.57,
2,Kaisa Parviainen,FIN,,Silver,Javelin Throw,F,1948,,,43.79,
3,Lily Carlstedt,DEN,,Bronze,Javelin Throw,F,1948,,,42.08,
1,Lindy Remigino,USA,10.4 (1),Gold,100 metres,M,1952,,,,
